SKU,Name,Price,description,Attribute 1 name,Attribute 1 value(s),brand,categories,images
DD9293-010,Nike Downshifter 12 Đen/Ghi,"1,810,000",,Size,40 39 40.5 41 42 42.5 43 44,Nike,32,"https://pos.nvncdn.com/b0b717-26181/ps/20230819_PcV7iex9Mx.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230527_kou1lM75GH.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_FkdynrEH1SnEaIBB.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_EkEJAcrTwn4VA51B.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_BK2GvelsSjCRMjYi.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_KwBnKUDbeqU5pCBl.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_lNFF7IvKuJDwmPqJ.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_o8wxnUYGOCqkPA0Z.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_VkACcr2qOk0MkZCt.jpeg,"
DD9293-001,Nike Downshifter 12 Đen,"1,810,000",,Size,40 39 40.5 41 42 42.5 43 44,Nike,32,"https://pos.nvncdn.com/b0b717-26181/ps/20230819_VxWwUgXgNi.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230527_HdIIoTtQeF.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_bsffb8GzNf0nBqNP.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_ZhMaiuO7HeS6lBXv.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_bBFJRSpeaUHicp1v.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_EA3oJj3sKGZXLe4Y.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_EwKOxDzQXTIN0vYM.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230309_HaXvZo5W6aGNQvPF.jpeg,"
AKKA_ACTIVE_B2213_TRANG,Giày thể thao AKKA Active 2213 Trắng/Xanh,"550,000","- Phần upper của giày được làm bằng công nghệ vải dệt AK - KNIT thoáng khí giúp người dùng có thể luyện tập trong thời gian dài.- Đế AK-EVA được cải tiến với bộ đệm xốp tương tự như bộ đế Boost của Adidas có cơ chế đàn hồi và hoàn trả năng lượng tối ưu giúp tạo cảm giác thoải mái cho đôi chân.-  Phần đế giày được trang bị thêm lót cao su chống trơn trượt ở phần mũi giày và đế giúp người dùng có thể an toàn trong quá trình sử dụng cả khi trời mưa.-  Form giày đi lên chân vừa vặn, các đường chỉ khâu rất tinh tế và chắc chắn hài lòng mọi khách hàng.",Size,40 39 41 42 43 44,thao,32,"https://pos.nvncdn.com/b0b717-26181/ps/20230206_9Vq8Ad8uP1i7XTVy.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230214_lTBFLNFqf0mKOVf8.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_JhfXP3EIH1lwl7DFsEZtRxur.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_1nD6CZ3ridUoGBZxWuepJAT8.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_lw6OBnaqiuNVJMCgLbSht5Eo.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_9r1s93aZVhqzcOqGrw0onoDO.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_AAtX7W0DXrDfyh5m9bM5TeZA.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_QyOg6tJiIHlJKuxyLFB5lzWv.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_y7NeaBk3Kb13xsY3pufoHCUz.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220806_luWkASG7hnCp9w6TotBbqI8u.jpg,"
AKKA_ACTIVE_B2213_DEN,Giày thể thao AKKA Active 2213 Đen/Cam,"550,000","- Phần upper của giày được làm bằng công nghệ vải dệt AK - KNIT thoáng khí giúp người dùng có thể luyện tập trong thời gian dài.- Đế AK-EVA được cải tiến với bộ đệm xốp tương tự như bộ đế Boost của Adidas có cơ chế đàn hồi và hoàn trả năng lượng tối ưu giúp tạo cảm giác thoải mái cho đôi chân.-  Phần đế giày được trang bị thêm lót cao su chống trơn trượt ở phần mũi giày và đế giúp người dùng có thể an toàn trong quá trình sử dụng cả khi trời mưa.-  Form giày đi lên chân vừa vặn, các đường chỉ khâu rất tinh tế và chắc chắn hài lòng mọi khách hàng.",Size,40 39 41 42 43 44,thao,32,"https://pos.nvncdn.com/b0b717-26181/ps/20230206_JNQf31o09V9H5LVE.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230214_lTBFLNFqf0mKOVf8.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_SreTPvzIdx6hP3mmsx8OjjPt.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_2ducyFiv6uWV58NayC0JeSAc.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_ajJPirQZvG6DpA5wxc9O80ES.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_qFurzHyS4tRw6lKWVe8AKow0.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_CPgC6FMj3tCBT6P0qJMnon9k.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_UfS0mVWV4Q7kiHWbDHKuh7KH.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_paOMU9IlZco84xWcYbFPS8yr.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220806_qbyK3zYMuJqUj4LdTznGJltu.jpg,"
AKKA_ACTIVE_B2213_XANHTROI,Giày thể thao AKKA Active 2213 Xanh trời/Navy,"550,000","- Phần upper của giày được làm bằng công nghệ vải dệt AK - KNIT thoáng khí giúp người dùng có thể luyện tập trong thời gian dài.- Đế AK-EVA được cải tiến với bộ đệm xốp tương tự như bộ đế Boost của Adidas có cơ chế đàn hồi và hoàn trả năng lượng tối ưu giúp tạo cảm giác thoải mái cho đôi chân.-  Phần đế giày được trang bị thêm lót cao su chống trơn trượt ở phần mũi giày và đế giúp người dùng có thể an toàn trong quá trình sử dụng cả khi trời mưa.-  Form giày đi lên chân vừa vặn, các đường chỉ khâu rất tinh tế và chắc chắn hài lòng mọi khách hàng.",Size,40 39 41 42 43 44,thao,32,"https://pos.nvncdn.com/b0b717-26181/ps/20230819_z8UueLzn4y.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230206_QMDhENE74xSosH7h.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230214_lTBFLNFqf0mKOVf8.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_y36WASJ5v0fER2qdsCTLGLsw.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_tRzqnxCyH04eL1JJFiSV9tcC.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_QxjVSGyCuZvhyXEBHFOvSFRA.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_kcygxjNyEFRadfNhGibkSTSC.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_ooZC85cVrBqeXIFxLf4THV2h.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_TqWDqab1Lg1bfzrNpvACbnWO.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_GOS6OIOX4BYBRX66sqJtlnow.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220806_VNBRicSRNw0BjmtWXr53RBBd.jpg,"
AKKA_FREE_B2218_XANHTROI,Giày thể thao AKKA Free 2218 Xanh trời,"550,000","- Phần upper của giày được làm bằng công nghệ vải dệt AK - KNIT thoáng khí giúp người dùng có thể luyện tập trong thời gian dài. - Đế AK-EVA chắc chắn đàn hồi tốt có khả năng chống mài mòn cao cùng độ bám dính với đất tốt, tốc độ biến dạng thấp. Đảm bảo tính thoải mái, độ linh hoạt mà vẫn nhẹ chân và bền bỉ, đem tới cảm giác êm ái cho từng bộ phận trên bàn chân. - Thiết kế phần đế giày của FREE B2218 có nhiều rãnh chống trượt giúp tăng khả năng bám đường và hạn chế trơn trượt khi di chuyển. -  Form giày đi lên chân vừa vặn, các đường chỉ khâu rất tinh tế và chắc chắn hài lòng mọi khách hàng.",Size,40 39 41 42 43 44,thao,32,"https://pos.nvncdn.com/b0b717-26181/ps/20230206_mmyXIwXTK3SfBRQ2.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230214_lTBFLNFqf0mKOVf8.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_hBPKsfk4FG8ANOdfKea8RIoH.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_M6AfdFpWzE7kIXLrHBo0dgbN.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_no2XnT3ApT2G6bTVy43VNYvn.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_m781ESZdlcmx1HV8bQdMIbr9.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_XXKKkZniUgbHYaS2ULoP03yK.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_6C49pJIOLWH8ZOO9JgKZxK6u.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_iVCz8wHDQMauX5ZNWLsKODsO.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220806_s4L8xP9XKBRVxCKi3JfzRs5R.jpg,"
AKKA_FREE_B2218_TRANG,Giày thể thao AKKA Free 2218 Trắng/Xám,"550,000","- Phần upper của giày được làm bằng công nghệ vải dệt AK - KNIT thoáng khí giúp người dùng có thể luyện tập trong thời gian dài. - Đế AK-EVA chắc chắn đàn hồi tốt có khả năng chống mài mòn cao cùng độ bám dính với đất tốt, tốc độ biến dạng thấp. Đảm bảo tính thoải mái, độ linh hoạt mà vẫn nhẹ chân và bền bỉ, đem tới cảm giác êm ái cho từng bộ phận trên bàn chân. - Thiết kế phần đế giày của FREE B2218 có nhiều rãnh chống trượt giúp tăng khả năng bám đường và hạn chế trơn trượt khi di chuyển. -  Form giày đi lên chân vừa vặn, các đường chỉ khâu rất tinh tế và chắc chắn hài lòng mọi khách hàng.",Size,40 39 41 42 43 44,thao,32,"https://pos.nvncdn.com/b0b717-26181/ps/20230819_WLwiTVkyWI.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230206_eL2VuLX4Q3HpDlDS.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230214_lTBFLNFqf0mKOVf8.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_UP50moHRoksj7rEyNHoIOJVs.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_MtArDNrZ4T0YH3t3xpLSnSOL.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_rf1349OshMQSuU40je1UPEnW.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_H9vjVpd9TJdTvDAIa8zRc4ht.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_1wpnMEHTn9BOsXMM8e8553RA.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_Hbh9zkNQhlsJ00QtsSu8wOIB.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_tqE2iXkOAwDdKwnCjj5fUG13.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220806_xqPwjz87vdzwBByuFB7xFDG3.jpg,"
AKKA_FREE_B2218_DEN,Giày thể thao AKKA Free 2218 Đen/Tím,"550,000","- Phần upper của giày được làm bằng công nghệ vải dệt AK - KNIT thoáng khí giúp người dùng có thể luyện tập trong thời gian dài.- Đế AK-EVA chắc chắn đàn hồi tốt có khả năng chống mài mòn cao cùng độ bám dính với đất tốt, tốc độ biến dạng thấp. Đảm bảo tính thoải mái, độ linh hoạt mà vẫn nhẹ chân và bền bỉ, đem tới cảm giác êm ái cho từng bộ phận trên bàn chân.- Thiết kế phần đế giày của FREE B2218 có nhiều rãnh chống trượt giúp tăng khả năng bám đường và hạn chế trơn trượt khi di chuyển.-  Form giày đi lên chân vừa vặn, các đường chỉ khâu rất tinh tế và chắc chắn hài lòng mọi khách hàng.",Size,40 39 41 42 43 44,thao,32,"https://pos.nvncdn.com/b0b717-26181/ps/20230208_0SyIjWV3Z2xelSwn.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230214_lTBFLNFqf0mKOVf8.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_lp1lJGxJpCt5CFdiXyJbW1IR.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_3c3RcfoClq56S2ZDb8262nqS.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_gGV5WcdVgIzAmTmk6HmxqWni.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_5lOtT12WJkzLT72FrwqbXjxQ.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_eIFOBQZnjfULhyQ9l42V0NVM.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_D4kmVV9q7fHoVHmyuaHclAXb.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_I6hLVH9AYarj076BHjBf3rlT.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20230208_16rnnZI7GWsUBqIs.jpeg,"
AKKA_FREE_B2218_XAM,Giày thể thao AKKA Free 2218 Xám/Xanh,"550,000","- Phần upper của giày được làm bằng công nghệ vải dệt AK - KNIT thoáng khí giúp người dùng có thể luyện tập trong thời gian dài. - Đế AK-EVA chắc chắn đàn hồi tốt có khả năng chống mài mòn cao cùng độ bám dính với đất tốt, tốc độ biến dạng thấp. Đảm bảo tính thoải mái, độ linh hoạt mà vẫn nhẹ chân và bền bỉ, đem tới cảm giác êm ái cho từng bộ phận trên bàn chân. - Thiết kế phần đế giày của FREE B2218 có nhiều rãnh chống trượt giúp tăng khả năng bám đường và hạn chế trơn trượt khi di chuyển. -  Form giày đi lên chân vừa vặn, các đường chỉ khâu rất tinh tế và chắc chắn hài lòng mọi khách hàng.",Size,40 39 41 42 43 44,thao,32,"https://pos.nvncdn.com/b0b717-26181/ps/20230208_st4DSIA7sZbq5dlp.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230214_lTBFLNFqf0mKOVf8.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_hrqbTVO1UqhnkbX41KJPWdFB.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_HrH9lVANAyTqM7BteQoYxj1h.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_FQ4cOhu429Ri9tf2mU04i04b.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_G3TZlDKPOjls5dt6wjWpktKO.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_4fSUQgobmW06tOoWcfaNIym9.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_Lcy6h647sv9zK9aJjqdPcIEU.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_HO1U4NuzOUvuZ3cbow4bgRAi.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220806_IeOVGHDGqUlVA83cdSNbVORv.jpg,"
AKKA_ACTIVE_B2210_VANG,Giày thể thao AKKA Active 2210 Vàng/Tím,"550,000","- Phần upper của giày được làm bằng công nghệ vải dệt AK - KNIT(hoa văn dệt chứ ko phải in) thoáng khí giúp người dùng có thể luyện tập trong thời gian dài. - Đế AK-EVA được nâng cấp với bộ đệm mới siêu nhẹ, đàn hồi cực tốt, êm chân. Đế lót là cao su tăng cường độ bám và chống mài mòn cực tốt. -  Phần đế giày chống trơn trượt an toàn, sản phẩm bền đẹp trong suốt quá trình sử dụng. -  Form giày đi lên chân vừa vặn, các đường chỉ khâu rất tinh tế và chắc chắn hài lòng mọi khách hàng. - Kiểu dáng giày cổ thấp hỗ trợ các bạn nam sử dụng trong nhiều bài tập, chạy bộ hằng ngày.",Size,40 39 41 42 43 44,thao,32,"https://pos.nvncdn.com/b0b717-26181/ps/20230819_SOslnlg5Sb.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230214_lTBFLNFqf0mKOVf8.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_Y0H9PEC6PwbRO4Hax4v1YTSt.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_Turh5mQrnf0Eyya1NJe5OM5b.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_20p6O5JdzijM2YXLZqDyfKF7.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_SMbHYXRjIrboAc8GQS38gZ5B.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_F34nBHwDARFofZeikvDYnwbW.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_E8t1JNNFKp8lcmExRvKKDMEP.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_nn1yTfyU0FllKEWDQhHeGA4e.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220806_dlfuYlex9QHw8nK2MlqAxxL5.jpg,"
