SKU,Name,Price,description,Attribute 1 name,Attribute 1 value(s),categories,images
GW4574,Adidas Predator Accuracy.1 L FG - Cam/Đen - GW4574,"4,600,000",,Size,40 39 40.5 41 42 42.5 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20230519_8UYlQ8NBDS.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230519_8EP7hL737l.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230519_rn6Xn7UbsZ.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230519_4agG2bnGJA.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230519_Oo05Q2a39G.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230519_i4aefBUnwA.jpeg,"
GZ5109,Adidas X SPEEDPORTAL.1 FG Cam/Đen - GZ5109,"3,900,000",,Size,40 39 40.5 41 42 42.5 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20230519_i6jDYu7POe.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230529_iAetmsgOXm.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230529_M12vKFR2M9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230529_6JOpixPenZ.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230529_QGOS7VpGiY.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230529_Q4OdSEEHBX.jpeg,"
GW4602,Adidas Predator Accuracy.3 L  FG - Đen/Hồng,"1,890,000",,Size,40 39 40.5 41 42 42.5 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20230406_SiBBCbrA8e.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230405_jGi1zHTzyd.jpeg,"
GZ5076,Adidas X SPEEDPORTAL.3 FG - Hồng/đen,"1,490,000",,Size,38.5 40 42 44 38 36 36.5 37 39 1/3 40 2/3 41 1/3 42 2/3 43 1/3,30,"https://pos.nvncdn.com/b0b717-26181/ps/20230131_ewOhzP2LnVD4HjDb.jpeg,"
GW8455,Adidas X SPEEDPORTAL.3 FG - Xanh cây,"1,750,000",,Size,40 42 44 39 1/3 40 2/3 41 1/3 42 2/3 43 1/3,30,"https://pos.nvncdn.com/b0b717-26181/ps/20221102_odvErpdFvoXmRlnwir6IirHh.jpg,"
GW4959,Adidas Copa Sense.3 FG - Trắng/xanh,"1,600,000",,Size,40 42 44 39 1/3 40 2/3 41 1/3 42 2/3 43 1/3,30,"https://pos.nvncdn.com/b0b717-26181/ps/20220510_dYljvLekQl0IBA7bPdSUMJdb.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220510_Kc3lCmwOI1StHgani0bx5m6Y.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220510_zn6IFJMnn5yYI0SiDAr46Zqg.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220510_7jTBhF5pXFuuQPdEP8k3WV23.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220510_Ryjj8S5E4DW9n5mYOBl6ZaRc.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220510_3F17sSWcQRqmcvI0QA0wtRA8.jpg,"
GW7483,Adidas Xspeedflow.3 Fg - Xanh ngọc - GW7483,"1,590,000",,Size,40 42 44 39 1/3 40 2/3 41 1/3 42 2/3 43 1/3,30,"https://pos.nvncdn.com/b0b717-26181/ps/20220318_hpmcSadqWKAZuP0dMR9VAae4.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220318_WC5PB6r7UyQ9pSGn29dLXuhN.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220318_aKRYXUvPWDPaRuATmZJZB1TH.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220318_KI0H6nNzrPBleBIMcmrMMehj.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220318_fVjRGnWrel9HPS137UmKhDTB.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20230102_RCwecMwHsFXk1qGzhm7s4f5E.jpg,"
P1GA218323,Giày đá bóng Mizuno Morelia Neo III Pro FG - Xanh ngọc,"2,900,000",,Size,40 39 40.5 41 42 42.5 43,30,"https://pos.nvncdn.com/b0b717-26181/ps/20211205_2Fu7rLnE0dKsgvovPz68xg47.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20211206_ztqvptxPUOdJWj8fLF7emtxX.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20211206_TDSxgy7feJtuFHwHh2qITcTg.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20211206_zwf87PhBUXbROEnj4xtF389Y.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20211206_5SDskvs8jz7Fg3o7DYsL6j8w.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20211206_zOks3ltVN5kzEcnYzUdJY8zH.jpg,"
FW6945,Giày đá bóng Adidas Xghosted.3 FG Hồng/đen FW6945,"1,550,000",,Size,40 42 44 39 1/3 40 2/3 41 1/3 42 2/3 43 1/3,30,"https://pos.nvncdn.com/b0b717-26181/ps/20210428_ggS5j4ZXdcj49onbWzKdhPAJ.jpg,"
FW7519,Giày đá bóng Adidas Predator Freak.3 FG Hồng/đen FW7519,"1,550,000",,Size,40 42 44 39 1/3 40 2/3 41 1/3 42 2/3 43 1/3,30,"https://pos.nvncdn.com/b0b717-26181/ps/20210428_m4H0ll7k92qLXt69rAB2FqRK.jpg,"
CJ1291-110,Giày đá bóng Nike Mercurial Vapor 13 Academy AG DR Trắng/Đen,"1,950,000",,Size,40 40.5 41,30,"https://pos.nvncdn.com/b0b717-26181/ps/20201203_IxFl39UeFr5elT0hDrnMNIMH.jpg,"
