SKU,Name,Price,description,Attribute 1 name,Attribute 1 value(s),categories,images
P1GD242560,Mizuno Monarcida Neo III Neo 3 Select AS - Trắng/Đỏ P1GD242560,"1,450,000",,Size,38.5 40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240506_ewzsdW5QiV.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_VMNxjcnYJ9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_MRxMhuNL4s.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_ZMjrIOC7PF.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_VBYRJbbaAz.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_6o79KV96zp.jpeg,"
P1GD242545,Mizuno Monarcida Neo III Neo 3 Select AS - Vàng/Đỏ P1GD242545,"1,450,000",,Size,38.5 40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240506_gikuIqltLK.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_VMNxjcnYJ9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_uDjR5K70kS.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_qQ7p17JnA0.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_Rx8WNtoSI4.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_S90qfpDwfL.jpeg,"
P1GD242509,Mizuno Monarcida Neo III Neo 3 Select AS - Trắng/Đen P1GD242509,"1,450,000",,Size,38.5 40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240506_FOY9x9J420.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_VMNxjcnYJ9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_ipp1JSfuH3.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_Cn90mUSzJc.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_a0VvWUMXsG.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_frFyVWQWDD.jpeg,"
FJ7199-300,Nike Zoom Mercurial Superfly 9 Academy MDS TF - Xanh lá FJ7199-300,"2,050,000",,Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_YoHqeZsfFQ.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240416_rXq7p1HxNr.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240416_5tOlWQDqDo.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240416_O0aZ79ufU9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240416_TtJFPutMEY.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240416_kvqQO82sgU.jpeg,"
FJ7191-300,Nike Zoom Mercurial Vapor 15 Academy MDS TF - Xanh lá FJ7191-300,"1,820,000",,Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_FxsQJ6nOrD.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240416_rXq7p1HxNr.jpeg,"
DV4342-700,Nike Tiempo 10 Academy TF - Trắng kem - DV4342-700,"1,550,000",,Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240416_y6ElPTS9yB.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_dk0b8rl7Q8.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_7WFHk1ac8i.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_kMAQl6LdRS.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240416_rXq7p1HxNr.jpeg,"
DV4336-700,Nike Tiempo 10 Pro TF - Trắng kem - DV4336-700,"2,490,000",,Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240416_i0h44u5ziv.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_VMNxjcnYJ9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_UhIz54Un88.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_7KtHXOpciX.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_gDJhyl1tVi.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_a1VJA5zpHs.jpeg,"
DJ5635-700,Nike Zoom Mercurial Vapor 15 Academy TF - Trắng kem DJ5635-700,"1,500,000",,Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_PEcrS37npX.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_yDviYSmWE7.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_XmKHcgk016.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_7uoDg5HZeH.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_zTFAXLLcji.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_VMNxjcnYJ9.jpeg,"
DJ5629-700,Nike Zoom Mercurial Superfly 9 Academy TF - Trắng kem DJ5629-700,"1,990,000",,Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_lLKBIu1l12.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_VMNxjcnYJ9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_VvnVM7kMvU.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_DD17GZGkJy.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_qs8xrlGjt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_tHarwhfDNn.jpeg,"
IF0695,Adidas X Crazyfast League LL TF Đỏ/Trắng IF0695,"1,820,000",,Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_QjGqRZM0ga.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_VMNxjcnYJ9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_Qt52i81VkM.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_iAUBRvFDdY.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_ULA3fQi8eU.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_v1ufaeBcup.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240410_XxD6emkQ3D.jpeg,"
IF0699,Adidas X Crazyfast League TF Đỏ/Trắng IF0699,"1,820,000",,Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_pCKpUFlLpm.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_VMNxjcnYJ9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_Wo0tC3zj81.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_fv0jvFBLBL.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_Zh1a8fEPfX.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_ucGtzBo9w5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_lw7FgCInPt.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240410_Ng9luY7isO.jpeg,"
IF0663,Adidas X Crazyfast Elite TF Đỏ/Trắng - IF0663,"2,650,000",,Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_elNuSSONXK.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_VMNxjcnYJ9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_RXg9emKw7A.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_KjJuqpZuAH.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_bgvSuDzrfK.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240524_gLAuupKNh4.jpeg,"
IE7497,Adidas Copa Pure II League TF - Đỏ/Trắng IE7497,"1,820,000",,Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_JvZJQrIgaS.jpeg,"
IE2612,Adidas Predator 24 League TF - Vàng/Đen IE2612,"1,820,000",,Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_wsTo0H3otf.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240410_JVBymFCG7c.jpeg,"
P1GD243460,Mizuno Morelia Neo IV Pro AS (Neo 4) - Trắng/Đỏ P1GD243460,"2,390,000",,Size,38.5 40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_63xJgzg2iP.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240409_j768kCe0c1.jpeg,"
P1GD243445,Mizuno Morelia Neo IV Pro AS (Neo 4) - Vàng P1GD243445,"2,390,000",,Size,38.5 40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_WMY8vC0rT4.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240409_uMJ0jioDjg.jpeg,"
10752101,Puma Ultra Match TT Trắng/Đỏ 107521-01,"1,129,000","- Thân giày: Vải sợi dệt mềm, nhẹ , tạo độ thật chân cao,ngoài ra được phủ thêm lớp Grip Control phía ngoài tăng độ nhám giúp kiểm soát bóng tốt hơn, ngoài ra độ xoáy lúc chuyền và sút cũng được tăng lên một chút.  - Lưỡi gà vải chun liền thân kéo dài đến phần cổ giày giúp thân giày ôm sát bàn chân nhưng không hề gây bí bách (vì vải chun thoáng khí). Ngoài ra phần cổ giày ôm sát nên cổ chân chắc hơn và hạn chế hạt cao su rơi vào giày.  - Gót giày với lớp đệm nỉ có độ dày vừa phải khá êm ái  - Đế Eva hỗ trợ bứt tốc và bật nhảy.",Size,40 39 40.5 41 42 42.5 43 44,28,"https://pos.nvncdn.com/b0b717-26181/ps/20240322_oGeI5am2xE.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240309_hKxFiVXHUI.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230726_N5PHi5Kq7U.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230726_MjVg7TB4Fm.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230726_fIwberj0Cn.jpeg,"
